brewery_id;brewery_name;brewery_city;brewery_country;brewery_type
6734;Adlerbrauerei Holzherr Eislingen;Eislingen;DE;Brewery
12619;Brouwerij Gradus Nikkelen;Aarle-Rixtel;NL;Brewery
50803;Tapped;Maplewood;US;Bar, Eatery
31847;Blind Murphy Craft Beer Market;Alpharetta;US;Homebrew, Beer-to-go
24687;Spec's #10;Seabrook;US;Store
3701;Okhotsk Brewery Inc.;Hokkaido Kitami-shi;JP;Brewery, Eatery
3349;Museum Brewing Company / White Shield Brewery;Burton-on-Trent;GB;Brewery
46563;Browar Fuhrmann;Połczyn-Zdrój;PL;Brewery
16466;Mellow Mushroom;Boone;US;Bar, Eatery
24589;Lockdown Tasting Room;Rancho Cordova;US;Bar
4548;Burgh's Pizza & Wing Pub;Bridgeville;US;Bar, Eatery, Beer-to-go
51836;Autumn Court Chinese Restaurant;Phoenix;US;Bar, Eatery
51340;Yard House;Sunrise;US;Bar, Eatery
21386;Burger Bar;San Francisco;US;Bar, Eatery
23318;Crystal Springs Brewing Company;Louisville;US;Brewery, Bar, Beer-to-go
5207;Bailey's Pub & Grille;Canton;US;Bar, Eatery
53317;Cervejaria Altezza;Castelo - ES;BR;Brewery, Bar
31790;High Cotton Brewing Co.;Memphis;US;Brewery, Bar
3490;B.O.B.'s Brewery;Grand Rapids;US;Brewery, Bar, Eatery, Beer-to-go
52427;Triple Crown Whiskey Bar & Raccoon Motel;Davenport;US;Bar
47194;Kañabikaña Craft Beer Shop;Donostia-San Sebastian;ES;Store
38602;Mad Beach Craft Brewing Company;Madeira Beach;US;Brewery, Bar, Eatery, Beer-to-go
15138;Hirashima Saketen;Fukuoka-ken Kitakyushu-shi;JP;Store
21973;The Field House;Etters;US;Bar, Eatery
19844;Stone & Wood;Byron Bay;AU;Brewery
5875;Waco Bar Supply Inc;Waco;US;Store
19074;Leos Pub And Grill;Mount Pleasant;US;Bar, Eatery, Beer-to-go
14956;Emerald Bay Spirits;Green Bay;US;Store
16873;10 Barrel Brewing Co.;Bend;US;Brewery, Bar, Eatery, Beer-to-go
51877;Fabrica de bere Satu Mare / HB Traditional Brewery S.R.L.;Satu Mare;RO;Brewery
32314;Liquor Mart;Corbin;US;Store
39688;The Tipsy Goat;Thousand Oaks;US;Bar, Eatery
4623;Rozi's Wine House;Lakewood;US;Homebrew, Beer-to-go
23150;Tokyu Foodshow (Shibuya Station);Tokyo-to Tokyo-shi;JP;Store
23580;Harbor View Restaurant;Cape May;US;Bar, Eatery
29834;Daviyun (Cerveza SAGRA);Numancia de la Sagra;ES;Brewery
26815;Leinenkugel's Beer Garden;Baltimore;US;Bar, Eatery
28102;St. Brigid’s Brewery;Moses Lake;US;Brewery
2254;Brownie's Irish Pub;Philadelphia;US;Bar, Eatery
1351;Barfüsser Das Kleine Brauhaus - Nürnberg;Nürnberg;DE;Brewery, Bar, Eatery
13585;Grindstone Liquor & Cstore;Columbia;US;Store
49013;UnchARTed;Lowell;US;Bar, Eatery
19904;In Good Spirits;Fort Smith;US;Store
30251;Seaside Brewing Company;Seaside;US;Brewery, Bar, Eatery
45069;Zámecký Dvůr Všeradice;Všeradice;CZ;Brewery
12559;Humpty Dumpty Brewing Company;Norwich;GB;Brewery
286;Hampshire Brewery Ltd;Romsey;GB;Brewery
39000;Hawkers Beer;Reservoir;AU;Brewery, Beer-to-go
44268;Sunset;Paris;FR;Bar, Eatery
48735;Piccolo Birrificio Indipendente Decimoprimo;Trinitapoli (FG);IT;Brewery
6194;Spezialbrauerei und Mineralwasser Bucher GmbH;Gundelfingen;DE;Brewery
30802;Tuman's Tap & Grill;Chicago;US;Bar, Eatery
3781;Oak Barrel Winecraft;Berkeley;US;Homebrew
38680;Brix Taphouse & Brewery;Greeley;US;Brewery, Bar
6070;Palos De Moguer;Cali;CO;Brewery, Bar, Eatery
33132;Howard's Pizza - East / Wine Mill;Great Falls;US;Bar, Eatery
49092;4 Pajot;Vlezenbeek;BE;Brewery
38467;Z Pub & Diner;Beaver Falls;US;Bar, Eatery, Beer-to-go
49505;Pivovar Nomád;Praha;CZ;Brewery
33498;La Maison des Bières;Montréal;CA;Store
33588;Lowercase Brewing;Seattle;US;Brewery, Bar, Beer-to-go
48114;Soundview Brewing Company;Old Lyme;US;Brewery
11798;Les Trois Brasseurs;Saint Sébastien Sur Loire;FR;Brewery, Eatery
47689;Three Notch'd Brewing RVA Collab House;Richmond;US;Brewery, Bar
33446;Bick's Broadview Grill;Seattle;US;Eatery
19561;Engine 11;Atlanta;US;Bar, Eatery
22284;McHughs;Dublin;IE;Store
16703;The Terminal;Milwaukee;US;Bar, Eatery
49073;La Morena;Quito;EC;Brewery
21756;Swinckels' Brouwerij;Lieshout;NL;Brewery
8591;Beverage Express;Binghamton;US;Store
7735;Il Spazio;Kirksville;US;Bar, Eatery
25625;Rockwell Tavern & Grill;Cypress;US;Bar, Eatery, Beer-to-go
48030;The Thin Man;Denver;US;Bar
4614;Orlando Brewing Partners;Orlando;US;Brewery, Bar, Eatery, Beer-to-go
3467;I.M. International Rokko Brewery;Hyogo-ken Kobe-shi;JP;Brewery
3857;Tuscan Brewing;Red Bluff;US;Brewery
23264;North York Beverage;York;US;Store
35403;Southpaw BBQ & Southern Cooking;San Francisco;US;Brewery, Bar, Eatery
11596;Clinton Street Brewing;Portland;US;Brewery, Bar, Eatery
14206;Broudys Fine Wine & Spirits;Julington Creek;US;Store
42089;Restaurace Kulový blesk;Praha;CZ;Bar, Eatery
25216;Pepper's Liquors;Naples;US;Store
12316;Le Cappuccino;Dijon;FR;Bar
15587;Captain Ankeny's Well;Portland;US;Bar, Eatery
43284;Maestro;Barcelona;ES;Brewery, Bar, Eatery, Beer-to-go
45812;Hanging Hills Brewing Company;Hartford;US;Brewery, Bar, Eatery, Beer-to-go
45087;Zee Brewery;East Palo Alto;US;Brewery
35263;The Buckhorn Saloon & Museum;San Antonio;US;Bar, Eatery
1853;Sly Fox Brewing Company;Phoenixville;US;Brewery, Bar, Eatery
45661;Charlie Does Manila;Makati;PH;Bar, Eatery, Beer-to-go
42258;Busch's Market;Saline;US;Store
16431;Birrificio Baüscia;Milano;IT;Brewery
19481;Jonna's Market;Howell;US;Store
10068;Brasserie Artisanale Du Trégor;Minihy-Tréguier;FR;Brewery
27716;Helix Liquor;El Cajon;US;Store
23029;Bodega Blue Artisan Cheese;Vero Beach;US;Bar, Eatery, Beer-to-go
48229;Pattaconk 1850 Bar & Grille;Chester;US;Bar, Eatery, Beer-to-go
45816;Talking Waters Brewing;Montevideo;US;Brewery, Bar
43928;BrewDog Brighton;Brighton;GB;Bar, Eatery, Beer-to-go
25224;QFC;Seattle;US;Store
39991;Uptown Market ;Beaverton;US;Brewery, Bar, Homebrew, Beer-to-go
49453;Szynkarnia;Wrocław;PL;Bar, Eatery
11178;Carolina Wine & Beverage;Cornelius;US;Store
10530;Dempsey's Pub;Cardiff;GB;Bar, Eatery
20253;Starliner Foodmart;Ridgefield;US;Store
39161;Brouwerij Van Campenhout;Kampenhout;BE;Brewery, Bar, Eatery
51239;Brouwerij 1573;Alkmaar;NL;Brewery
7121;Harvest Moon Brewery;Belt;US;Brewery
3091;Frederic Robinson Limited;Cheshire;GB;Brewery
37699;The Moon Under Water;London;GB;Bar, Eatery
28335;Firecreek Restaurant + Bar;Downingtown;US;Bar, Eatery
3856;Old Vine, The;Baltimore;US;Store
30321;Beer'd Brewing Co.;Stonington;US;Brewery, Bar, Beer-to-go
39453;The Queens Head;Bristol;GB;Bar, Eatery
52184;BREWSKI;Brisbane;AU;Bar, Eatery, Beer-to-go
10844;Rose & Crown (Nook);Holmfirth;GB;Bar
35943;North Slope Brewing Company;Dallas;US;Brewery, Bar
674;Nelson Brewing Company;Nelson;CA;Brewery
48151;Mellbygatans Delikatesser;Lidköping;SE;Bar, Eatery
18578;Cost Plus World Market;Visalia;US;Store
16109;McMenamins - Rock Creek Tavern;Hillsboro;US;Bar, Eatery, Beer-to-go
37234;Peddler's Liquor Mart;Newark;US;Store
48017;ETX Brewing Co.;Tyler;US;Brewery, Bar
52785;The Kings Beer Hall;Brooklyn;US;Bar, Eatery
29364;Joule's Brewery;Market Drayton;GB;Brewery, Bar, Eatery
47218;Royal Sushi & Izakaya;Philadelphia;US;Bar, Eatery
21064;The Brewer's Kettle;High Point;US;Bar, Beer-to-go
40357;The Chase Brewing Co;Lexington;US;Brewery, Bar, Eatery, Beer-to-go
33185;Vin Goat;Corona Del Mar;US;Store
